Mission,Difficulte
Faire rire quelqu'un discrètement.,Facile
Faire tomber un objet de manière crédible.,Facile
"Faire dire ""oui"" trois fois à quelqu'un.",Moyenne
Dire un mot précis dans une conversation.,Difficile
Danser un moonwalk discret sans se faire remarquer.,Moyenne
Poser une question au prof en imitant un accent sans insulte.,Difficile
Dire "en fait" au moins 5 fois dans une même phrase.,Facile
Faire semblant d'éternuer au moment où quelqu'un parle.,Facile
Faire boire quelqu'un sans qu'il comprenne pourquoi.,Moyenne
Obtenir un high-five de quelqu'un sans raison apparente.,Facile
Faire dire à quelqu'un le mot "banane" naturellement.,Moyenne
Chanter une note tenue le plus longtemps possible sans rire.,Facile
Faire croire que tu as reçu un message urgent.,Moyenne
Imiter discrètement les gestes d'un autre joueur sans qu'il s'en rende compte.,Difficile
Obtenir que quelqu'un te prête son stylo sans le demander directement.,Moyenne
Glisser le mot "complot" dans une conversation sérieuse.,Difficile
Faire semblant de chercher quelque chose dans ton sac pendant 2 minutes.,Facile
Convaincre quelqu'un que tu as déjà mangé alors que non.,Moyenne
Faire répéter la même phrase à quelqu'un deux fois d'affilée.,Moyenne
Faire pointer quelqu'un vers le plafond sans raison.,Facile
Poser une question philosophique à quelqu'un en passant.,Difficile
Garder le contact visuel avec quelqu'un pendant 10 secondes sans sourire.,Difficile
Faire sortir quelqu'un d'une pièce avec une excuse inventée.,Difficile
Obtenir un compliment d'un inconnu sans le demander.,Difficile
Siffler un air connu jusqu'à ce que quelqu'un le reconnaisse.,Facile
Faire croire que tu as oublié le prénom de quelqu'un que tu connais bien.,Moyenne
Parler en chuchotant pendant 3 minutes complètes.,Facile
Convaincre quelqu'un que tu parles une autre langue.,Difficile
Faire mimer quelqu'un sans qu'il sache qu'il mime.,Difficile
Faire croire que ton téléphone est cassé.,Moyenne
Faire pleurer quelqu'un de rire sans dire un seul mot.,Difficile
Convaincre quelqu'un que la salle est en train de bouger.,Difficile
Faire croire à quelqu'un qu'il a dit quelque chose qu'il n'a pas dit.,Difficile
Faire qu'un inconnu te raconte un secret en moins de 5 minutes.,Difficile
Faire avouer à quelqu'un qu'il a tort sans jamais le contredire directement.,Difficile
Faire qu'une personne change de place sans lui demander explicitement.,Difficile
Obtenir un bisou sur la joue d'un inconnu sans le demander directement.,Difficile
Faire manger à quelqu'un quelque chose qu'il n'aimait pas en le convainquant que c'est autre chose.,Difficile
Faire croire que tu as des pouvoirs de voyance à au moins 2 personnes.,Difficile
Faire qu'une personne chante en public sans qu'elle réalise ce qui se passe.,Difficile
Convaincre le prof ou l'animateur de faire une pause immédiatement.,Difficile
Faire qu'un groupe entier t'applaudisse sans raison valable.,Difficile
Faire croire à quelqu'un que son téléphone est sur écoute.,Difficile
Faire qu'une personne tienne la main d'un autre joueur naturellement.,Difficile
Obtenir que quelqu'un présente des excuses sans savoir pourquoi.,Difficile
